id,cidade_uf
1501253,Bannach - SE
1501303,Barcarena - PL
1501402,Belém - SD
1501451,Belterra - SE
1501501,Benevides - AA
1501576,Bom Jesus do Tocantins - CQ
1501600,Bonito - PL
1501709,Bragança - LF
1501725,Brasil Novo - LS
1501758,Brejo Grande do Araguaia - PL
1501782,Breu Branco - SE
1501808,Breves - SD
1501907,Bujaru - SE
1502004,Cachoeira do Arari - PL
1501956,Cachoeira do Piriá - PL
1502103,Cametá - LS
1502152,Canaã dos Carajás - LS
1502202,Capanema - PL
1502301,Capitão Poço - LS
1502400,Castanhal - SQ
1502509,Chaves - CQ
1502608,Colares - RQ
1502707,Conceição do Araguaia - SQ
1502756,Concórdia do Pará - PL
1502764,Cumaru do Norte - PL
1502772,Curionópolis - AA
1502806,Curralinho - SE
1502855,Curuá - PL
1502905,Curuçá - PL
1502939,Dom Eliseu - LF
1502954,Eldorado do Carajás - RQ
1503002,Faro - SE
1503044,Floresta do Araguaia - AA
1503077,Garrafão do Norte - SQ
1503093,Goianésia do Pará - RQ
1503101,Gurupá - LF
1503200,Igarapé-Açu - AA
1503309,Igarapé-Miri - SQ
1503408,Inhangapi - LF
1503457,Ipixuna do Pará - LF
1503507,Irituia - SQ
1503606,Itaituba - LF
1503705,Itupiranga - CQ
1503754,Jacareacanga - SD
1503804,Jacundá - AA
1503903,Juruti - LS
1504000,Limoeiro do Ajuru - SQ
1504059,Mãe do Rio - SQ
1504109,Magalhães Barata - SE
1504208,Marabá - LS
1504307,Maracanã - RQ
1504406,Marapanim - SD
1504422,Marituba - LS
1504455,Medicilândia - RQ
1504505,Melgaço - SD
1504604,Mocajuba - LS
1504703,Moju - CQ
1504752,Mojuí dos Campos - LF
1504802,Monte Alegre - CQ
1504901,Muaná - LS
1504950,Nova Esperança do Piriá - RQ
1504976,Nova Ipixuna - LS
1505007,Nova Timboteua - CQ
1505031,Novo Progresso - RQ
1505064,Novo Repartimento - LF
1505106,Óbidos - LS
1505205,Oeiras do Pará - CQ
1505304,Oriximiná - SE
1505403,Ourém - LS
1505437,Ourilândia do Norte - LF
1505486,Pacajá - RQ
1505494,Palestina do Pará - LS
1505502,Paragominas - CQ
1505536,Parauapebas - AA
1505551,Pau D Arco - AA
1505601,Peixe-Boi - SD
1505635,Piçarra - SE
1505650,Placas - SQ
1505700,Ponta de Pedras - AA
1505809,Portel - SD
1505908,Porto de Moz - CQ
1506005,Prainha - PL
1506104,Primavera - SE
1506112,Quatipuru - SQ
1506138,Redenção - PL
1506161,Rio Maria - LF
1506187,Rondon do Pará - LS
1506195,Rurópolis - CQ
1506203,Salinópolis - LF
1506302,Salvaterra - CQ
1506351,Santa Bárbara do Pará - LS
1506401,Santa Cruz do Arari - PL
1506500,Santa Izabel do Pará - LF
1506559,Santa Luzia do Pará - LF
1506583,Santa Maria das Barreiras - SD
1506609,Santa Maria do Pará - CQ
1506708,Santana do Araguaia - RQ
1506807,Santarém - LS
1506906,Santarém Novo - CQ
1507003,Santo Antônio do Tauá - CQ
1507102,São Caetano de Odivelas - SD
1507151,São Domingos do Araguaia - CQ
1507201,São Domingos do Capim - AA
1507300,São Félix do Xingu - PL
1507409,São Francisco do Pará - LS
1507458,São Geraldo do Araguaia - AA
1507466,São João da Ponta - SD
1507474,São João de Pirabas - AA
1507508,São João do Araguaia - CQ
1507607,São Miguel do Guamá - SE
1507706,São Sebastião da Boa Vista - RQ
1507755,Sapucaia - RQ
1507805,Senador José Porfírio - LF
1507904,Soure - AA
1507953,Tailândia - CQ
1507961,Terra Alta - PL
1507979,Terra Santa - PL
1508001,Tomé-Açu - SD
1508035,Tracuateua - LF
1508050,Trairão - CQ
1508084,Tucumã - RQ
1508100,Tucuruí - SQ
1508126,Ulianópolis - AA
1508159,Uruará - SE
1508209,Vigia - AA
1508308,Viseu - PL
1508357,Vitória do Xingu - RQ
1508407,Xinguara - AA
1600105,Amapá - SD
1600204,Calçoene - CQ
1600212,Cutias - LF
1600238,Ferreira Gomes - SE
1600253,Itaubal - RQ
1600279,Laranjal do Jari - LS
1600303,Macapá - PL
1600402,Mazagão - LS
1600501,Oiapoque - RQ
1600154,Pedra Branca do Amapari - AA
1600535,Porto Grande - SQ
1600550,Pracuúba - RQ
1600600,Santana - CQ
1600055,Serra do Navio - SE
1600709,Tartarugalzinho - LF
1600808,Vitória do Jari - PL
1700251,Abreulândia - SQ
1700301,Aguiarnópolis - SE
1700350,Aliança do Tocantins - SQ
1700400,Almas - RQ
1700707,Alvorada - AA
1701002,Ananás - LS
1701051,Angico - SE
1701101,Aparecida do Rio Negro - LS
1701309,Aragominas - RQ
1701903,Araguacema - LF
1702000,Araguaçu - LS
1702109,Araguaína - LS
1702158,Araguanã - AA
1702208,Araguatins - SD
1702307,Arapoema - SD
1702406,Arraias - CQ
1702554,Augustinópolis - AA
1702703,Aurora do Tocantins - LF
1702901,Axixá do Tocantins - SQ
1703008,Babaçulândia - SE
1703057,Bandeirantes do Tocantins - CQ
1703073,Barra do Ouro - AA
1703107,Barrolândia - SD
1703206,Bernardo Sayão - SD
1703305,Bom Jesus do Tocantins - RQ
1703602,Brasilândia do Tocantins - AA
1703701,Brejinho de Nazaré - PL
1703800,Buriti do Tocantins - SE
1703826,Cachoeirinha - RQ
1703842,Campos Lindos - SQ
1703867,Cariri do Tocantins - PL
1703883,Carmolândia - AA
1703891,Carrasco Bonito - LF
1703909,Caseara - LS
1704105,Centenário - RQ
1705102,Chapada da Natividade - CQ
1704600,Chapada de Areia - SE
1705508,Colinas do Tocantins - PL
1716703,Colméia - PL
1705557,Combinado - SQ
1705607,Conceição do Tocantins - PL
1706001,Couto Magalhães - PL
1706100,Cristalândia - RQ
1706258,Crixás do Tocantins - PL
1706506,Darcinópolis - PL
1707009,Dianópolis - LF
1707108,Divinópolis do Tocantins - SE
1707207,Dois Irmãos do Tocantins - AA
1707306,Dueré - AA
1707405,Esperantina - SE
1707553,Fátima - PL
1707652,Figueirópolis - PL
1707702,Filadélfia - SD
1708205,Formoso do Araguaia - SE
1708254,Fortaleza do Tabocão - PL
1708304,Goianorte - AA
1709005,Goiatins - LS
1709302,Guaraí - PL
1709500,Gurupi - AA
1709807,Ipueiras - SE
1710508,Itacajá - SQ
1710706,Itaguatins - PL
1710904,Itapiratins - PL
1711100,Itaporã do Tocantins - LF
1711506,Jaú do Tocantins - SE
1711803,Juarina - PL
1711902,Lagoa da Confusão - LF
1711951,Lagoa do Tocantins - CQ
1712009,Lajeado - RQ
1712157,Lavandeira - PL
1712405,Lizarda - AA
1712454,Luzinópolis - RQ
1712504,Marianópolis do Tocantins - SD
1712702,Mateiros - CQ
1712801,Maurilândia do Tocantins - LF
1713205,Miracema do Tocantins - SE
1713304,Miranorte - SQ
1713601,Monte do Carmo - SD
1713700,Monte Santo do Tocantins - SE
1713957,Muricilândia - LF
1714203,Natividade - LF
1714302,Nazaré - RQ
1714880,Nova Olinda - RQ
1715002,Nova Rosalândia - RQ
1715101,Novo Acordo - PL
1715150,Novo Alegre - RQ
1715259,Novo Jardim - RQ
1715507,Oliveira de Fátima - LF
1721000,Palmas - RQ
1715705,Palmeirante - SQ
1713809,Palmeiras do Tocantins - CQ
1715754,Palmeirópolis - PL
1716109,Paraíso do Tocantins - SD
1716208,Paranã - SE
1716307,Pau D Arco - RQ
1716505,Pedro Afonso - SQ
1716604,Peixe - LF
1716653,Pequizeiro - LF
1717008,Pindorama do Tocantins - SQ
1717206,Piraquê - LS
1717503,Pium - RQ
1717800,Ponte Alta do Bom Jesus - SQ
1717909,Ponte Alta do Tocantins - AA
1718006,Porto Alegre do Tocantins - LF
1718204,Porto Nacional - SQ
1718303,Praia Norte - SQ
1718402,Presidente Kennedy - AA
1718451,Pugmil - LF
1718501,Recursolândia - CQ
1718550,Riachinho - AA
1718659,Rio da Conceição - AA
1718709,Rio dos Bois - SE
1718758,Rio Sono - SE
1718808,Sampaio - SD
1718840,Sandolândia - PL
1718865,Santa Fé do Araguaia - SD
1718881,Santa Maria do Tocantins - PL
1718899,Santa Rita do Tocantins - SE
1718907,Santa Rosa do Tocantins - RQ
1719004,Santa Tereza do Tocantins - PL
1720002,Santa Terezinha do Tocantins - LF
1720101,São Bento do Tocantins - SD
1720150,São Félix do Tocantins - SE
1720200,São Miguel do Tocantins - SE
1720259,São Salvador do Tocantins - RQ
1720309,São Sebastião do Tocantins - RQ
1720499,São Valério - AA
1720655,Silvanópolis - PL
1720804,Sítio Novo do Tocantins - LS
1720853,Sucupira - SE
1720903,Taguatinga - PL
1720937,Taipas do Tocantins - SE
1720978,Talismã - SD
1721109,Tocantínia - SE
1721208,Tocantinópolis - SQ
1721257,Tupirama - LF
1721307,Tupiratins - LF
1722081,Wanderlândia - RQ
1722107,Xambioá - RQ
2100055,Açailândia - PL
2100105,Afonso Cunha - PL
2100154,Água Doce do Maranhão - SQ
2100204,Alcântara - CQ
2100303,Aldeias Altas - CQ
2100402,Altamira do Maranhão - LF
2100436,Alto Alegre do Maranhão - SE
2100477,Alto Alegre do Pindaré - RQ
2100501,Alto Parnaíba - RQ
2100550,Amapá do Maranhão - RQ
2100600,Amarante do Maranhão - SE
2100709,Anajatuba - LS
2100808,Anapurus - PL
2100832,Apicum-Açu - AA
2100873,Araguanã - LF
2100907,Araioses - LS
2100956,Arame - AA
2101004,Arari - LS
2101103,Axixá - SD
2101202,Bacabal - AA
2101251,Bacabeira - AA
2101301,Bacuri - CQ
2101350,Bacurituba - LF
2101400,Balsas - LF
2101509,Barão de Grajaú - SQ
2101608,Barra do Corda - PL
2101707,Barreirinhas - CQ
2101772,Bela Vista do Maranhão - SE
2101731,Belágua - CQ
2101806,Benedito Leite - LF
2101905,Bequimão - RQ
2101939,Bernardo do Mearim - CQ
2101970,Boa Vista do Gurupi - CQ
2102002,Bom Jardim - SD
2102036,Bom Jesus das Selvas - SE
2102077,Bom Lugar - LF
2102101,Brejo - CQ
2102150,Brejo de Areia - SQ
2102200,Buriti - PL
2102309,Buriti Bravo - CQ
2102325,Buriticupu - LS
2102358,Buritirana - RQ
2102374,Cachoeira Grande - PL
2102408,Cajapió - SQ
2102507,Cajari - CQ
2102556,Campestre do Maranhão - SE
2102606,Cândido Mendes - RQ
2102705,Cantanhede - LS
2102754,Capinzal do Norte - AA
2102804,Carolina - RQ
2102903,Carutapera - AA
2103000,Caxias - SQ
2103109,Cedral - RQ
2103125,Central do Maranhão - CQ
2103158,Centro do Guilherme - RQ
2103174,Centro Novo do Maranhão - CQ
2103208,Chapadinha - AA
2103257,Cidelândia - CQ
2103307,Codó - CQ
2103406,Coelho Neto - PL
2103505,Colinas - LS
2103554,Conceição do Lago-Açu - LF
2103604,Coroatá - PL
2103703,Cururupu - CQ
2103752,Davinópolis - CQ
2103802,Dom Pedro - LS
2103901,Duque Bacelar - RQ
2104008,Esperantinópolis - LF
2104057,Estreito - SD
2104073,Feira Nova do Maranhão - SQ
2104081,Fernando Falcão - RQ
2104099,Formosa da Serra Negra - AA
2104107,Fortaleza dos Nogueiras - RQ
2104206,Fortuna - PL
2104305,Godofredo Viana - LS
2104404,Gonçalves Dias - SE
2104503,Governador Archer - SE
2104552,Governador Edison Lobão - SE
2104602,Governador Eugênio Barros - CQ
2104628,Governador Luiz Rocha - PL
2104651,Governador Newton Bello - SD
2104677,Governador Nunes Freire - AA
2104701,Graça Aranha - LF
2104800,Grajaú - PL
2104909,Guimarães - LF
2105005,Humberto de Campos - PL
2105104,Icatu - SD
2105153,Igarapé do Meio - CQ
2105203,Igarapé Grande - AA
2105302,Imperatriz - CQ
2105351,Itaipava do Grajaú - SQ
2105401,Itapecuru Mirim - PL
2105427,Itinga do Maranhão - LF
2105450,Jatobá - CQ
2105476,Jenipapo dos Vieiras - LF
2105500,João Lisboa - PL
2105609,Joselândia - LF
2105658,Junco do Maranhão - SD
2105708,Lago da Pedra - SQ
2105807,Lago do Junco - SQ
2105948,Lago dos Rodrigues - CQ
2105906,Lago Verde - SD
2105922,Lagoa do Mato - SQ
2105963,Lagoa Grande do Maranhão - SD
2105989,Lajeado Novo - LS
2106003,Lima Campos - CQ
2106102,Loreto - SD
2106201,Luís Domingues - PL
2106300,Magalhães de Almeida - CQ
2106326,Maracaçumé - PL
2106359,Marajá do Sena - SD
2106375,Maranhãozinho - CQ
2106409,Mata Roma - PL
2106508,Matinha - CQ
2106607,Matões - AA
2106631,Matões do Norte - LF
2106672,Milagres do Maranhão - RQ
2106706,Mirador - LF
2106755,Miranda do Norte - SE
2106805,Mirinzal - RQ
2106904,Monção - CQ
2107001,Montes Altos - AA
2107100,Morros - CQ
2107209,Nina Rodrigues - SQ
2107258,Nova Colinas - SE
2107308,Nova Iorque - AA
2107357,Nova Olinda do Maranhão - CQ
2107407,Olho d Água das Cunhãs - SQ
2107456,Olinda Nova do Maranhão - AA
2107506,Paço do Lumiar - CQ
2107605,Palmeirândia - CQ
2107704,Paraibano - LF
2107803,Parnarama - SE
2107902,Passagem Franca - LF
2108009,Pastos Bons - SD
2108058,Paulino Neves - LS
2108108,Paulo Ramos - SE
2108207,Pedreiras - SE
2108256,Pedro do Rosário - LS
2108306,Penalva - SQ
2108405,Peri Mirim - SD
2108454,Peritoró - LS
2108504,Pindaré-Mirim - CQ
2108603,Pinheiro - LF
2108702,Pio XII - PL
2108801,Pirapemas - LS
2108900,Poção de Pedras - CQ
2109007,Porto Franco - RQ
2109056,Porto Rico do Maranhão - CQ
2109106,Presidente Dutra - SE
2109205,Presidente Juscelino - SE
2109239,Presidente Médici - LF
2109270,Presidente Sarney - CQ
2109304,Presidente Vargas - LF
2109403,Primeira Cruz - AA
2109452,Raposa - CQ
2109502,Riachão - SQ
2109551,Ribamar Fiquene - RQ
2109601,Rosário - LF
2109700,Sambaíba - LF
2109759,Santa Filomena do Maranhão - AA
2109809,Santa Helena - AA
2109908,Santa Inês - CQ
2110005,Santa Luzia - LS
2110039,Santa Luzia do Paruá - LS
2110104,Santa Quitéria do Maranhão - CQ
2110203,Santa Rita - LS
2110237,Santana do Maranhão - SD
2110278,Santo Amaro do Maranhão - SD
2110302,Santo Antônio dos Lopes - PL
2110401,São Benedito do Rio Preto - AA
2110500,São Bento - CQ
2110609,São Bernardo - PL
2110658,São Domingos do Azeitão - PL
2110708,São Domingos do Maranhão - LS
2110807,São Félix de Balsas - RQ
2110856,São Francisco do Brejão - AA
2110906,São Francisco do Maranhão - SQ
2111003,São João Batista - SQ
2111029,São João do Carú - PL
2111052,São João do Paraíso - SD
2111078,São João do Soter - LS
2111102,São João dos Patos - PL
2111201,São José de Ribamar - PL
2111250,São José dos Basílios - RQ
2111300,São Luís - SE
2111409,São Luís Gonzaga do Maranhão - LF
2111508,São Mateus do Maranhão - CQ
2111532,São Pedro da Água Branca - PL
2111573,São Pedro dos Crentes - CQ
2111607,São Raimundo das Mangabeiras - SD
2111631,São Raimundo do Doca Bezerra - LF
2111672,São Roberto - AA
2111706,São Vicente Ferrer - RQ
2111722,Satubinha - PL
2111748,Senador Alexandre Costa - LF
2111763,Senador La Rocque - SE
2111789,Serrano do Maranhão - AA
2111805,Sítio Novo - SE
2111904,Sucupira do Norte - SD
2111953,Sucupira do Riachão - LS
2112001,Tasso Fragoso - SQ
2112100,Timbiras - SE
2112209,Timon - SQ
2112233,Trizidela do Vale - LF
2112274,Tufilândia - AA
2112308,Tuntum - SQ
2112407,Turiaçu - LS
2112456,Turilândia - RQ
2112506,Tutóia - PL
2112605,Urbano Santos - SE
2112704,Vargem Grande - SD
2112803,Viana - AA
2112852,Vila Nova dos Martírios - SQ
2112902,Vitória do Mearim - SQ
2113009,Vitorino Freire - LF
2114007,Zé Doca - SQ
2200053,Acauã - LF
2200103,Agricolândia - SQ
2200202,Água Branca - PL
2200251,Alagoinha do Piauí - LS
2200277,Alegrete do Piauí - LS
2200301,Alto Longá - PL
2200400,Altos - RQ
2200459,Alvorada do Gurguéia - LF
2200509,Amarante - CQ
2200608,Angical do Piauí - LS
2200707,Anísio de Abreu - AA
2200806,Antônio Almeida - PL
2200905,Aroazes - RQ
2200954,Aroeiras do Itaim - AA
2201002,Arraial - RQ
2201051,Assunção do Piauí - CQ
2201101,Avelino Lopes - LF
2201150,Baixa Grande do Ribeiro - LS
2201176,Barra D Alcântara - AA
2201200,Barras - AA
2201309,Barreiras do Piauí - RQ
2201408,Barro Duro - SE
2201507,Batalha - LS
2201556,Bela Vista do Piauí - AA
2201572,Belém do Piauí - LS
2201606,Beneditinos - SE
2201705,Bertolínia - LS
2201739,Betânia do Piauí - SE
2201770,Boa Hora - SD
2201804,Bocaina - LS
2201903,Bom Jesus - AA
2201919,Bom Princípio do Piauí - LS
2201929,Bonfim do Piauí - SQ
2201945,Boqueirão do Piauí - LS
2201960,Brasileira - RQ
2201988,Brejo do Piauí - PL
2202000,Buriti dos Lopes - LS
2202026,Buriti dos Montes - SD
2202059,Cabeceiras do Piauí - SQ
2202075,Cajazeiras do Piauí - RQ
2202083,Cajueiro da Praia - LF
2202091,Caldeirão Grande do Piauí - LF
2202109,Campinas do Piauí - PL
2202117,Campo Alegre do Fidalgo - SQ
2202133,Campo Grande do Piauí - AA
2202174,Campo Largo do Piauí - RQ
2202208,Campo Maior - LS
2202251,Canavieira - CQ
2202307,Canto do Buriti - LS
2202406,Capitão de Campos - RQ
2202455,Capitão Gervásio Oliveira - AA
2202505,Caracol - SE
2202539,Caraúbas do Piauí - PL
2202554,Caridade do Piauí - CQ
2202604,Castelo do Piauí - SD
2202653,Caxingó - LS
2202703,Cocal - LS
2202711,Cocal de Telha - LS
2202729,Cocal dos Alves - LS
2202737,Coivaras - SD
2202752,Colônia do Gurguéia - RQ
2202778,Colônia do Piauí - CQ
2202802,Conceição do Canindé - AA
2202851,Coronel José Dias - AA
2202901,Corrente - LS
2203008,Cristalândia do Piauí - LS
2203107,Cristino Castro - AA
2203206,Curimatá - SQ
2203230,Currais - SD
2203271,Curral Novo do Piauí - PL
2203255,Curralinhos - LS
2203305,Demerval Lobão - RQ
2203354,Dirceu Arcoverde - LF
2203404,Dom Expedito Lopes - AA
2203453,Dom Inocêncio - LF
2203420,Domingos Mourão - SD
2203503,Elesbão Veloso - PL
2203602,Eliseu Martins - SE
2203701,Esperantina - CQ
2203750,Fartura do Piauí - RQ
2203800,Flores do Piauí - CQ
2203859,Floresta do Piauí - LS
2203909,Floriano - PL
2204006,Francinópolis - PL
2204105,Francisco Ayres - PL
2204154,Francisco Macedo - AA
2204204,Francisco Santos - LF
2204303,Fronteiras - CQ
2204352,Geminiano - SE
2204402,Gilbués - SD
2204501,Guadalupe - RQ
2204550,Guaribas - PL
2204600,Hugo Napoleão - AA
2204659,Ilha Grande - AA
2204709,Inhuma - RQ
2204808,Ipiranga do Piauí - AA
2204907,Isaías Coelho - LS
2205003,Itainópolis - SD
2205102,Itaueira - RQ
2205151,Jacobina do Piauí - SD
2205201,Jaicós - SE
2205250,Jardim do Mulato - SQ
2205276,Jatobá do Piauí - SE
2205300,Jerumenha - PL
2205359,João Costa - AA
2205409,Joaquim Pires - AA
2205458,Joca Marques - CQ
2205508,José de Freitas - LS
2205516,Juazeiro do Piauí - SD
2205524,Júlio Borges - AA
2205532,Jurema - LF
2205557,Lagoa Alegre - PL
2205573,Lagoa de São Francisco - PL
2205565,Lagoa do Barro do Piauí - PL
2205581,Lagoa do Piauí - LF
2205599,Lagoa do Sítio - LS
2205540,Lagoinha do Piauí - AA
2205607,Landri Sales - RQ
2205706,Luís Correia - PL
2205805,Luzilândia - SQ
2205854,Madeiro - LS
2205904,Manoel Emídio - LF
2205953,Marcolândia - LS
2206001,Marcos Parente - SE
2206050,Massapê do Piauí - PL
2206100,Matias Olímpio - PL
2206209,Miguel Alves - RQ
2206308,Miguel Leão - SD
2206357,Milton Brandão - AA
2206407,Monsenhor Gil - SQ
2206506,Monsenhor Hipólito - CQ
2206605,Monte Alegre do Piauí - SD
2206654,Morro Cabeça no Tempo - LS
2206670,Morro do Chapéu do Piauí - RQ
2206696,Murici dos Portelas - LF
2206704,Nazaré do Piauí - RQ
2206720,Nazária - SD
2206753,Nossa Senhora de Nazaré - SD
2206803,Nossa Senhora dos Remédios - LF
2207959,Nova Santa Rita - CQ
2206902,Novo Oriente do Piauí - SQ
2206951,Novo Santo Antônio - SD
2207009,Oeiras - RQ
2207108,Olho D Água do Piauí - SE
2207207,Padre Marcos - LF
2207306,Paes Landim - SD
2207355,Pajeú do Piauí - AA
2207405,Palmeira do Piauí - LS
2207504,Palmeirais - LF
2207553,Paquetá - RQ
2207603,Parnaguá - SD
2207702,Parnaíba - LS
2207751,Passagem Franca do Piauí - SE
2207777,Patos do Piauí - SE
2207793,Pau D Arco do Piauí - PL
2207801,Paulistana - PL
2207850,Pavussu - CQ
2207900,Pedro II - LS
2207934,Pedro Laurentino - SE
2208007,Picos - LS
2208106,Pimenteiras - LS
2208205,Pio IX - PL
2208304,Piracuruca - AA
2208403,Piripiri - SQ
2208502,Porto - LF
2208551,Porto Alegre do Piauí - RQ
2208601,Prata do Piauí - LS
2208650,Queimada Nova - PL
2208700,Redenção do Gurguéia - RQ
2208809,Regeneração - SQ
2208858,Riacho Frio - CQ
2208874,Ribeira do Piauí - SQ
2208908,Ribeiro Gonçalves - LF
2209005,Rio Grande do Piauí - CQ
2209104,Santa Cruz do Piauí - SD
2209153,Santa Cruz dos Milagres - RQ
2209203,Santa Filomena - SD
2209302,Santa Luz - SE
2209377,Santa Rosa do Piauí - SD
2209351,Santana do Piauí - SE
2209401,Santo Antônio de Lisboa - LF
2209450,Santo Antônio dos Milagres - SD
2209500,Santo Inácio do Piauí - RQ
2209559,São Braz do Piauí - PL
2209609,São Félix do Piauí - AA
2209658,São Francisco de Assis do Piauí - LS
2209708,São Francisco do Piauí - RQ
2209757,São Gonçalo do Gurguéia - PL
2209807,São Gonçalo do Piauí - CQ
2209856,São João da Canabrava - SE
2209872,São João da Fronteira - LF
2209906,São João da Serra - PL
2209955,São João da Varjota - CQ
2209971,São João do Arraial - CQ
2210003,São João do Piauí - LS
2210052,São José do Divino - RQ
2210102,São José do Peixe - CQ
2210201,São José do Piauí - LF
2210300,São Julião - CQ
2210359,São Lourenço do Piauí - SD
2210375,São Luis do Piauí - LF
2210383,São Miguel da Baixa Grande - AA
2210391,São Miguel do Fidalgo - SQ
2210409,São Miguel do Tapuio - AA
2210508,São Pedro do Piauí - AA
2210607,São Raimundo Nonato - SE
2210623,Sebastião Barros - SD
2210631,Sebastião Leal - RQ
2210656,Sigefredo Pacheco - SQ
2210706,Simões - LF
2210805,Simplício Mendes - PL
2210904,Socorro do Piauí - LS
2210938,Sussuapara - LS
2210953,Tamboril do Piauí - RQ
2210979,Tanque do Piauí - LF
2211001,Teresina - LF
2211100,União - SQ
2211209,Uruçuí - AA
